<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALRS,60,20191001,110000,74.6000000,75.1900000,74.5100000,74.6400000,1423860
ALRS,60,20191001,120000,74.6300000,74.7900000,74.0500000,74.4000000,1452800
ALRS,60,20191001,130000,74.4000000,74.5200000,74.1500000,74.3200000,833710
ALRS,60,20191001,140000,74.3300000,74.4000000,74.2200000,74.3300000,449260
ALRS,60,20191001,150000,74.2900000,74.6500000,74.2100000,74.5000000,448340
ALRS,60,20191001,160000,74.4700000,74.5500000,74.2900000,74.3600000,661660
ALRS,60,20191001,170000,74.3200000,74.4100000,73.6700000,73.8700000,1476540
ALRS,60,20191001,180000,73.8600000,74.3100000,73.7400000,74.1500000,922180
ALRS,60,20191001,190000,74.1500000,74.3500000,74.0700000,74.3500000,1007070
ALRS,60,20191002,110000,74.2700000,74.7200000,74.0200000,74.7000000,1999190
ALRS,60,20191002,120000,74.7000000,74.9300000,74.5200000,74.7700000,2740720
ALRS,60,20191002,130000,74.7500000,74.8300000,74.6500000,74.8200000,2086340
ALRS,60,20191002,140000,74.8200000,75.2400000,74.8200000,75.1100000,1318660
ALRS,60,20191002,150000,75.1100000,75.1100000,74.6700000,75.0400000,2282420
ALRS,60,20191002,160000,75.0300000,75.1000000,74.9000000,75.0400000,784520
ALRS,60,20191002,170000,75.0600000,75.1100000,74.9400000,75.0000000,1136110
ALRS,60,20191002,180000,75.0000000,75.0600000,74.7100000,74.7900000,1897220
ALRS,60,20191002,190000,74.7900000,75.0800000,74.7500000,75.0800000,2237320
ALRS,60,20191003,110000,75.0800000,76.3800000,74.9800000,76.0200000,5573370
ALRS,60,20191003,120000,76.0300000,76.0800000,75.7500000,75.8100000,1637680
ALRS,60,20191003,130000,75.8000000,76.2400000,75.7600000,76.0600000,1872480
ALRS,60,20191003,140000,76.0600000,76.2400000,76.0300000,76.1700000,1140520
ALRS,60,20191003,150000,76.1700000,76.1700000,75.8500000,75.9000000,1042230
ALRS,60,20191003,160000,75.8800000,76.1000000,75.8300000,75.8400000,652500
ALRS,60,20191003,170000,75.8500000,75.9200000,75.4300000,75.8200000,1300340
ALRS,60,20191003,180000,75.8600000,75.8800000,75.4000000,75.5200000,1274490
ALRS,60,20191003,190000,75.5000000,75.7500000,75.3000000,75.3400000,1925290
ALRS,60,20191004,110000,75.5600000,75.8900000,75.4300000,75.5800000,829110
ALRS,60,20191004,120000,75.5800000,76.0000000,75.5400000,75.7300000,593850
ALRS,60,20191004,130000,75.7300000,75.8100000,75.3200000,75.3300000,1194710
ALRS,60,20191004,140000,75.3300000,75.3700000,74.7000000,74.7700000,1572930
ALRS,60,20191004,150000,74.7500000,74.7700000,74.0100000,74.3100000,2678330
ALRS,60,20191004,160000,74.2900000,74.3800000,73.5300000,73.9500000,2644990
ALRS,60,20191004,170000,73.9500000,74.3600000,73.8600000,74.1200000,1830130
ALRS,60,20191004,180000,74.1100000,74.1900000,73.7800000,73.8000000,1222930
ALRS,60,20191004,190000,73.8000000,74.1000000,73.7200000,74.1000000,1441580
ALRS,60,20191007,110000,74.0600000,74.3100000,72.9400000,73.0400000,2219800
ALRS,60,20191007,120000,73.0800000,73.2900000,72.8200000,73.2000000,1619790
ALRS,60,20191007,130000,73.2000000,73.3700000,73.1900000,73.2700000,1312180
ALRS,60,20191007,140000,73.2700000,73.2800000,73.1500000,73.2200000,711920
ALRS,60,20191007,150000,73.2200000,73.2700000,73.1200000,73.1600000,640760
ALRS,60,20191007,160000,73.1400000,73.2000000,72.9000000,73.0100000,1001230
ALRS,60,20191007,170000,73.0100000,73.1000000,72.4100000,72.4900000,2943240
ALRS,60,20191007,180000,72.4900000,72.7600000,72.2000000,72.2500000,3652440
ALRS,60,20191007,190000,72.2500000,72.3600000,72.1900000,72.2500000,2049840
ALRS,60,20191008,110000,71.9600000,72.7800000,71.5100000,71.8200000,3791420
ALRS,60,20191008,120000,71.8200000,71.8700000,70.8900000,71.2400000,5226450
ALRS,60,20191008,130000,71.2200000,71.4000000,71.2200000,71.2600000,2198520
ALRS,60,20191008,140000,71.2700000,71.2800000,71.1100000,71.2100000,1614260
ALRS,60,20191008,150000,71.2300000,71.3500000,71.1700000,71.2600000,1479700
ALRS,60,20191008,160000,71.2500000,71.2800000,71.1500000,71.2200000,1491880
ALRS,60,20191008,170000,71.2200000,71.7400000,71.2200000,71.4600000,2279350
ALRS,60,20191008,180000,71.4600000,71.5800000,71.3400000,71.5800000,1402240
ALRS,60,20191008,190000,71.5700000,71.8000000,71.5100000,71.8000000,1692520
ALRS,60,20191009,110000,71.6000000,72.0200000,71.3100000,71.6000000,1523280
ALRS,60,20191009,120000,71.5700000,72.5000000,71.5400000,72.2300000,2409390
ALRS,60,20191009,130000,72.2100000,72.3000000,71.9100000,72.0500000,1366800
ALRS,60,20191009,140000,72.0700000,72.1300000,72.0000000,72.0400000,769120
ALRS,60,20191009,150000,72.0800000,72.3500000,72.0600000,72.3200000,578170
ALRS,60,20191009,160000,72.3200000,72.4600000,72.2700000,72.4000000,800120
ALRS,60,20191009,170000,72.4000000,72.4600000,72.2600000,72.3200000,608730
ALRS,60,20191009,180000,72.3200000,72.3500000,72.1100000,72.2800000,1086910
ALRS,60,20191009,190000,72.2700000,72.6300000,72.2300000,72.5700000,2171290
ALRS,60,20191010,110000,72.4300000,72.5600000,71.8300000,72.0100000,1609440
ALRS,60,20191010,120000,72.0300000,72.0600000,71.8300000,71.9600000,829250
ALRS,60,20191010,130000,71.9500000,73.3300000,71.9300000,72.8400000,4626920
ALRS,60,20191010,140000,72.8400000,73.0400000,72.8300000,72.8600000,803770
ALRS,60,20191010,150000,72.8600000,72.9900000,72.7600000,72.7600000,1113810
ALRS,60,20191010,160000,72.7600000,72.9500000,72.7200000,72.9300000,1061420
ALRS,60,20191010,170000,72.9300000,73.0700000,72.8000000,73.0600000,1629780
ALRS,60,20191010,180000,73.0700000,73.2500000,72.8300000,73.1000000,2752050
ALRS,60,20191010,190000,73.1100000,73.2000000,72.9500000,73.2000000,5021240
ALRS,60,20191011,110000,69.9100000,70.7400000,69.8900000,70.4300000,7321160
ALRS,60,20191011,120000,70.4700000,70.7100000,70.3300000,70.4800000,1757160
ALRS,60,20191011,130000,70.4800000,70.7000000,70.4600000,70.6100000,900000
ALRS,60,20191011,140000,70.6400000,71.2700000,70.6100000,71.2100000,2145230
ALRS,60,20191011,150000,71.2100000,71.2200000,70.9000000,71.0800000,1480020
ALRS,60,20191011,160000,71.0800000,71.2400000,71.0600000,71.1500000,1025980
ALRS,60,20191011,170000,71.1400000,71.2000000,70.6200000,70.6600000,2287820
ALRS,60,20191011,180000,70.6600000,71.0800000,70.5500000,71.0500000,2538300
ALRS,60,20191011,190000,71.0400000,71.2200000,70.6000000,70.6000000,3647880
ALRS,60,20191014,110000,70.7000000,70.8700000,69.8500000,70.0000000,2442710
ALRS,60,20191014,120000,69.9900000,70.2400000,69.9000000,70.1200000,557090
ALRS,60,20191014,130000,70.1200000,70.2500000,69.9600000,70.0300000,515960
ALRS,60,20191014,140000,70.0100000,70.1300000,69.8700000,69.9500000,588030
