<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KMAZ,60,20191001,110000,59.2000000,60.3000000,58.9000000,59.3000000,9750
KMAZ,60,20191001,120000,59.5000000,59.5000000,58.9000000,59.5000000,6130
KMAZ,60,20191001,130000,59.2000000,59.5000000,58.1000000,59.3000000,8400
KMAZ,60,20191001,140000,59.5000000,60.3000000,59.5000000,59.9000000,4000
KMAZ,60,20191001,150000,59.8000000,60.8000000,59.8000000,60.0000000,10380
KMAZ,60,20191001,160000,60.3000000,60.3000000,60.0000000,60.0000000,130
KMAZ,60,20191001,170000,60.3000000,61.5000000,60.0000000,60.1000000,11460
KMAZ,60,20191001,180000,60.8000000,60.8000000,59.9000000,60.1000000,3590
KMAZ,60,20191001,190000,60.1000000,60.1000000,59.3000000,60.0000000,2220
KMAZ,60,20191002,110000,60.8000000,60.8000000,58.4000000,59.8000000,3050
KMAZ,60,20191002,120000,59.5000000,59.7000000,58.5000000,58.6000000,2420
KMAZ,60,20191002,130000,58.7000000,59.2000000,58.7000000,59.1000000,1700
KMAZ,60,20191002,140000,59.3000000,59.3000000,59.0000000,59.0000000,1320
KMAZ,60,20191002,150000,59.3000000,59.3000000,59.0000000,59.0000000,110
KMAZ,60,20191002,160000,59.0000000,59.2000000,58.8000000,58.8000000,2420
KMAZ,60,20191002,170000,58.8000000,58.8000000,58.5000000,58.6000000,1230
KMAZ,60,20191002,180000,58.8000000,58.8000000,58.5000000,58.5000000,500
KMAZ,60,20191002,190000,58.7000000,60.0000000,58.6000000,59.7000000,5870
KMAZ,60,20191003,110000,61.0000000,61.0000000,58.7000000,59.0000000,3150
KMAZ,60,20191003,120000,59.0000000,59.1000000,58.5000000,59.1000000,4750
KMAZ,60,20191003,130000,58.7000000,59.0000000,58.5000000,58.6000000,540
KMAZ,60,20191003,140000,58.9000000,59.0000000,58.7000000,58.7000000,30
KMAZ,60,20191003,150000,59.0000000,59.0000000,58.6000000,59.0000000,590
KMAZ,60,20191003,160000,58.7000000,59.2000000,58.6000000,58.7000000,2680
KMAZ,60,20191003,170000,59.2000000,59.2000000,58.6000000,59.1000000,280
KMAZ,60,20191003,180000,59.1000000,59.2000000,58.3000000,59.2000000,4080
KMAZ,60,20191003,190000,58.5000000,59.1000000,58.3000000,59.1000000,980
KMAZ,60,20191004,110000,59.9000000,59.9000000,57.2000000,58.9000000,10760
KMAZ,60,20191004,120000,58.8000000,58.8000000,56.9000000,57.4000000,16970
KMAZ,60,20191004,130000,57.4000000,58.6000000,57.4000000,58.6000000,3930
KMAZ,60,20191004,150000,58.7000000,58.9000000,57.0000000,57.5000000,6900
KMAZ,60,20191004,160000,57.7000000,57.8000000,57.7000000,57.8000000,80
KMAZ,60,20191004,170000,57.7000000,57.8000000,57.4000000,57.7000000,630
KMAZ,60,20191004,180000,57.7000000,58.2000000,57.7000000,58.2000000,1590
KMAZ,60,20191004,190000,57.8000000,57.8000000,57.8000000,57.8000000,100
KMAZ,60,20191007,110000,57.2000000,57.2000000,57.1000000,57.1000000,500
KMAZ,60,20191007,120000,58.0000000,58.1000000,57.6000000,57.6000000,240
KMAZ,60,20191007,130000,58.0000000,58.2000000,58.0000000,58.0000000,1520
KMAZ,60,20191007,140000,58.0000000,58.0000000,57.6000000,57.6000000,680
KMAZ,60,20191007,150000,57.9000000,57.9000000,57.9000000,57.9000000,10
KMAZ,60,20191007,160000,57.6000000,57.6000000,57.6000000,57.6000000,20
KMAZ,60,20191007,170000,57.8000000,57.8000000,57.4000000,57.4000000,970
KMAZ,60,20191007,180000,57.8000000,57.8000000,57.3000000,57.8000000,190
KMAZ,60,20191007,190000,57.8000000,57.8000000,57.1000000,57.8000000,1340
KMAZ,60,20191008,110000,58.0000000,58.0000000,56.7000000,56.8000000,5580
KMAZ,60,20191008,120000,57.0000000,57.5000000,57.0000000,57.0000000,740
KMAZ,60,20191008,130000,57.0000000,57.2000000,56.9000000,56.9000000,80
KMAZ,60,20191008,140000,57.3000000,57.5000000,56.9000000,56.9000000,940
KMAZ,60,20191008,150000,57.3000000,57.5000000,57.1000000,57.1000000,170
KMAZ,60,20191008,160000,57.3000000,57.4000000,57.3000000,57.4000000,150
KMAZ,60,20191008,170000,57.3000000,57.3000000,56.6000000,56.6000000,2650
KMAZ,60,20191008,180000,57.2000000,57.2000000,56.7000000,56.7000000,20
KMAZ,60,20191008,190000,57.2000000,57.3000000,56.3000000,56.3000000,1520
KMAZ,60,20191009,110000,56.4000000,57.4000000,56.4000000,57.0000000,5170
KMAZ,60,20191009,120000,57.2000000,58.2000000,57.2000000,57.5000000,3890
KMAZ,60,20191009,130000,57.7000000,58.0000000,57.1000000,58.0000000,3730
KMAZ,60,20191009,140000,58.1000000,59.3000000,58.0000000,58.6000000,7820
KMAZ,60,20191009,150000,58.6000000,58.7000000,58.2000000,58.4000000,470
KMAZ,60,20191009,160000,58.3000000,58.4000000,58.2000000,58.2000000,270
KMAZ,60,20191009,170000,58.2000000,58.4000000,58.1000000,58.1000000,760
KMAZ,60,20191009,180000,58.4000000,58.4000000,58.1000000,58.3000000,140
KMAZ,60,20191009,190000,58.1000000,58.4000000,58.1000000,58.3000000,40
KMAZ,60,20191010,110000,58.0000000,58.0000000,58.0000000,58.0000000,50
KMAZ,60,20191010,120000,58.0000000,58.0000000,57.6000000,58.0000000,140
KMAZ,60,20191010,130000,58.1000000,58.6000000,58.1000000,58.1000000,400
KMAZ,60,20191010,140000,58.5000000,58.6000000,58.0000000,58.0000000,700
KMAZ,60,20191010,150000,58.0000000,58.0000000,57.7000000,57.7000000,50
KMAZ,60,20191010,160000,58.0000000,58.3000000,57.8000000,58.3000000,40
KMAZ,60,20191010,180000,58.4000000,58.4000000,58.0000000,58.3000000,40
KMAZ,60,20191010,190000,58.3000000,58.3000000,57.7000000,57.7000000,110
KMAZ,60,20191011,110000,58.7000000,59.0000000,58.2000000,58.2000000,3190
KMAZ,60,20191011,120000,58.4000000,58.6000000,58.3000000,58.6000000,180
KMAZ,60,20191011,130000,58.4000000,58.5000000,58.4000000,58.5000000,270
KMAZ,60,20191011,140000,58.5000000,58.5000000,58.5000000,58.5000000,2280
KMAZ,60,20191011,150000,58.3000000,58.3000000,57.6000000,58.0000000,1330
KMAZ,60,20191011,160000,57.9000000,58.2000000,57.9000000,58.0000000,570
KMAZ,60,20191011,170000,58.2000000,58.2000000,57.2000000,57.2000000,2220
KMAZ,60,20191011,180000,57.9000000,58.0000000,56.7000000,56.9000000,3290
KMAZ,60,20191011,190000,56.6000000,57.0000000,56.5000000,57.0000000,3630
KMAZ,60,20191014,110000,57.1000000,57.6000000,56.5000000,57.5000000,2230
KMAZ,60,20191014,120000,57.3000000,57.3000000,56.6000000,57.3000000,2180
KMAZ,60,20191014,130000,57.0000000,57.4000000,56.6000000,57.2000000,1040
KMAZ,60,20191014,140000,56.8000000,57.3000000,56.7000000,56.7000000,150
KMAZ,60,20191014,150000,57.1000000,57.2000000,56.7000000,56.7000000,70
KMAZ,60,20191014,160000,57.2000000,57.2000000,56.8000000,56.8000000,570
KMAZ,60,20191014,170000,57.2000000,57.2000000,56.9000000,56.9000000,40
KMAZ,60,20191014,180000,56.9000000,56.9000000,56.8000000,56.8000000,20
KMAZ,60,20191014,190000,56.8000000,56.8000000,56.7000000,56.7000000,1000
KMAZ,60,20191015,110000,56.3000000,57.2000000,56.2000000,56.7000000,990
KMAZ,60,20191015,120000,56.6000000,56.8000000,56.3000000,56.8000000,1340
KMAZ,60,20191015,130000,56.8000000,56.9000000,56.8000000,56.9000000,810
KMAZ,60,20191015,140000,56.9000000,57.2000000,56.8000000,57.2000000,2090
KMAZ,60,20191015,150000,57.5000000,58.5000000,57.2000000,58.5000000,5850
KMAZ,60,20191015,160000,58.4000000,58.4000000,57.2000000,57.5000000,2690
KMAZ,60,20191015,170000,57.2000000,57.5000000,56.9000000,57.3000000,1080
KMAZ,60,20191015,180000,57.3000000,57.3000000,57.3000000,57.3000000,20
KMAZ,60,20191015,190000,57.0000000,57.0000000,56.8000000,56.8000000,2570
KMAZ,60,20191016,110000,56.2000000,57.5000000,56.1000000,56.7000000,3820
KMAZ,60,20191016,120000,56.7000000,57.0000000,56.7000000,56.9000000,1290
KMAZ,60,20191016,130000,56.9000000,57.1000000,56.7000000,57.1000000,1380
KMAZ,60,20191016,140000,57.1000000,58.0000000,56.8000000,57.0000000,1400
