<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VTBR,60,20191001,110000,0.0425400,0.0428150,0.0424350,0.0427050,2632670000
VTBR,60,20191001,120000,0.0427200,0.0428000,0.0426000,0.0426800,1424920000
VTBR,60,20191001,130000,0.0426750,0.0426750,0.0424700,0.0425650,832930000
VTBR,60,20191001,140000,0.0425650,0.0426400,0.0425250,0.0426150,362260000
VTBR,60,20191001,150000,0.0426350,0.0427000,0.0426050,0.0426250,477020000
VTBR,60,20191001,160000,0.0426450,0.0426650,0.0425600,0.0426450,290100000
VTBR,60,20191001,170000,0.0426350,0.0426850,0.0425250,0.0426500,604510000
VTBR,60,20191001,180000,0.0426500,0.0426500,0.0424300,0.0424450,1001550000
VTBR,60,20191001,190000,0.0424550,0.0424700,0.0423000,0.0423000,1704130000
VTBR,60,20191002,110000,0.0423500,0.0425000,0.0421550,0.0422000,2811360000
VTBR,60,20191002,120000,0.0421950,0.0422350,0.0417200,0.0417950,4312820000
VTBR,60,20191002,130000,0.0417750,0.0418000,0.0415500,0.0416800,3792010000
VTBR,60,20191002,140000,0.0417000,0.0418000,0.0416550,0.0417700,2244560000
VTBR,60,20191002,150000,0.0417700,0.0418000,0.0417150,0.0417550,1257120000
VTBR,60,20191002,160000,0.0417550,0.0419200,0.0416850,0.0417500,2485110000
VTBR,60,20191002,170000,0.0417500,0.0419900,0.0417500,0.0418200,1641650000
VTBR,60,20191002,180000,0.0418000,0.0418100,0.0415650,0.0416400,2213320000
VTBR,60,20191002,190000,0.0416300,0.0416400,0.0412950,0.0413100,4855990000
VTBR,60,20191003,110000,0.0413450,0.0413950,0.0407600,0.0409500,9689230000
VTBR,60,20191003,120000,0.0409500,0.0415700,0.0409050,0.0410450,10734800000
VTBR,60,20191003,130000,0.0410700,0.0410700,0.0404350,0.0407250,7139100000
VTBR,60,20191003,140000,0.0407050,0.0407500,0.0405050,0.0405300,1836500000
VTBR,60,20191003,150000,0.0405300,0.0407800,0.0405300,0.0406450,2306110000
VTBR,60,20191003,160000,0.0406450,0.0407400,0.0405550,0.0407000,1160740000
VTBR,60,20191003,170000,0.0407000,0.0408400,0.0406350,0.0408000,2069310000
VTBR,60,20191003,180000,0.0407850,0.0408450,0.0404600,0.0408250,3604200000
VTBR,60,20191003,190000,0.0408200,0.0411750,0.0408100,0.0409000,3430250000
VTBR,60,20191004,110000,0.0410750,0.0412900,0.0409700,0.0411150,3443370000
VTBR,60,20191004,120000,0.0411150,0.0411900,0.0409600,0.0411000,1791880000
VTBR,60,20191004,130000,0.0411000,0.0411200,0.0408350,0.0409150,1191530000
VTBR,60,20191004,140000,0.0409350,0.0410000,0.0408000,0.0408950,1164290000
VTBR,60,20191004,150000,0.0408850,0.0409700,0.0407400,0.0409700,936840000
VTBR,60,20191004,160000,0.0409550,0.0410800,0.0409250,0.0410150,1638730000
VTBR,60,20191004,170000,0.0410250,0.0411900,0.0409600,0.0409900,1239340000
VTBR,60,20191004,180000,0.0409950,0.0410200,0.0406550,0.0407050,2385410000
VTBR,60,20191004,190000,0.0406900,0.0408300,0.0406750,0.0407500,1376250000
VTBR,60,20191007,110000,0.0409250,0.0410200,0.0406800,0.0409000,2587580000
VTBR,60,20191007,120000,0.0408950,0.0415300,0.0407700,0.0413100,3670900000
VTBR,60,20191007,130000,0.0413000,0.0413100,0.0411350,0.0411850,858930000
VTBR,60,20191007,140000,0.0411850,0.0412500,0.0411250,0.0412200,348310000
VTBR,60,20191007,150000,0.0412200,0.0414150,0.0412200,0.0412900,1457880000
VTBR,60,20191007,160000,0.0412900,0.0414800,0.0412050,0.0414250,1564500000
VTBR,60,20191007,170000,0.0414050,0.0416400,0.0412700,0.0413900,3184950000
VTBR,60,20191007,180000,0.0414000,0.0414600,0.0412200,0.0413800,2017650000
VTBR,60,20191007,190000,0.0413800,0.0415000,0.0413500,0.0414650,1298350000
VTBR,60,20191008,110000,0.0415400,0.0415400,0.0412500,0.0412600,3120810000
VTBR,60,20191008,120000,0.0412600,0.0412700,0.0411000,0.0412300,2662640000
VTBR,60,20191008,130000,0.0412250,0.0414500,0.0411800,0.0412050,1926110000
VTBR,60,20191008,140000,0.0412250,0.0412250,0.0410250,0.0410950,1832000000
VTBR,60,20191008,150000,0.0411000,0.0411750,0.0409150,0.0409800,2402250000
VTBR,60,20191008,160000,0.0409600,0.0409750,0.0407000,0.0409450,2667960000
VTBR,60,20191008,170000,0.0409200,0.0410000,0.0407950,0.0408600,1499350000
VTBR,60,20191008,180000,0.0408550,0.0408950,0.0407800,0.0408900,997190000
VTBR,60,20191008,190000,0.0408950,0.0409800,0.0406550,0.0406550,2782210000
VTBR,60,20191009,110000,0.0406650,0.0410100,0.0406650,0.0409000,2530190000
VTBR,60,20191009,120000,0.0408900,0.0409800,0.0408700,0.0409450,1239260000
VTBR,60,20191009,130000,0.0409450,0.0413000,0.0409450,0.0411350,4957870000
VTBR,60,20191009,140000,0.0411300,0.0411500,0.0410400,0.0410600,837060000
VTBR,60,20191009,150000,0.0410850,0.0411100,0.0409600,0.0410200,677740000
VTBR,60,20191009,160000,0.0410200,0.0410900,0.0409300,0.0409700,662210000
VTBR,60,20191009,170000,0.0409850,0.0410300,0.0409200,0.0409450,764910000
VTBR,60,20191009,180000,0.0409450,0.0409650,0.0407600,0.0408600,1373270000
VTBR,60,20191009,190000,0.0408750,0.0409100,0.0408000,0.0408000,1612850000
VTBR,60,20191010,110000,0.0408150,0.0409300,0.0406650,0.0407850,1989700000
VTBR,60,20191010,120000,0.0407850,0.0410300,0.0407300,0.0408300,1228700000
VTBR,60,20191010,130000,0.0408150,0.0409100,0.0407350,0.0408300,807660000
VTBR,60,20191010,140000,0.0408250,0.0409700,0.0408200,0.0408950,553680000
VTBR,60,20191010,150000,0.0408900,0.0409650,0.0408550,0.0409000,392200000
VTBR,60,20191010,160000,0.0409100,0.0409800,0.0407800,0.0408800,1152270000
VTBR,60,20191010,170000,0.0408850,0.0411950,0.0408700,0.0411950,1731560000
VTBR,60,20191010,180000,0.0411850,0.0412800,0.0411100,0.0412600,1944100000
VTBR,60,20191010,190000,0.0412750,0.0413500,0.0411900,0.0413500,3522630000
VTBR,60,20191011,110000,0.0414250,0.0419800,0.0413950,0.0419050,8048390000
VTBR,60,20191011,120000,0.0418900,0.0419450,0.0416600,0.0417000,2455460000
VTBR,60,20191011,130000,0.0417100,0.0418450,0.0415200,0.0416950,1459760000
VTBR,60,20191011,140000,0.0416950,0.0417750,0.0416300,0.0417100,490870000
VTBR,60,20191011,150000,0.0417250,0.0423950,0.0417000,0.0420300,12655290000
VTBR,60,20191011,160000,0.0420300,0.0421000,0.0419400,0.0419850,1683000000
VTBR,60,20191011,170000,0.0419850,0.0420000,0.0417300,0.0419000,3311180000
VTBR,60,20191011,180000,0.0419050,0.0419950,0.0417400,0.0418850,1969530000
VTBR,60,20191011,190000,0.0419000,0.0419250,0.0417950,0.0419250,2029970000
VTBR,60,20191014,110000,0.0419400,0.0421800,0.0417400,0.0419650,2694970000
VTBR,60,20191014,120000,0.0419650,0.0421700,0.0418700,0.0420800,1088430000
VTBR,60,20191014,130000,0.0420800,0.0420800,0.0416300,0.0417400,2091170000
VTBR,60,20191014,140000,0.0417350,0.0418650,0.0415050,0.0418500,2361140000
VTBR,60,20191014,150000,0.0418300,0.0418900,0.0417400,0.0418850,602330000
VTBR,60,20191014,160000,0.0418850,0.0418900,0.0417050,0.0417200,611370000
VTBR,60,20191014,170000,0.0417050,0.0417700,0.0415100,0.0417050,1380710000
VTBR,60,20191014,180000,0.0417150,0.0417800,0.0416350,0.0416950,938880000
VTBR,60,20191014,190000,0.0417200,0.0417950,0.0416300,0.0417500,1166840000
VTBR,60,20191015,110000,0.0418100,0.0419450,0.0417400,0.0417700,1684860000
VTBR,60,20191015,120000,0.0417800,0.0419450,0.0416200,0.0418300,1903230000
VTBR,60,20191015,130000,0.0418200,0.0419350,0.0417300,0.0419350,1127660000
VTBR,60,20191015,140000,0.0419350,0.0419400,0.0416400,0.0417750,997300000
VTBR,60,20191015,150000,0.0417750,0.0418000,0.0417000,0.0417350,391500000
VTBR,60,20191015,160000,0.0417200,0.0417250,0.0415700,0.0416000,848070000
VTBR,60,20191015,170000,0.0415950,0.0416000,0.0413000,0.0414650,4849160000
VTBR,60,20191015,180000,0.0414650,0.0418100,0.0414100,0.0417950,1796080000
VTBR,60,20191015,190000,0.0418000,0.0418700,0.0417000,0.0417000,1946800000
VTBR,60,20191016,110000,0.0418700,0.0418950,0.0417250,0.0418450,1407800000
VTBR,60,20191016,120000,0.0418450,0.0419350,0.0417700,0.0418100,781920000
VTBR,60,20191016,130000,0.0418200,0.0418750,0.0417750,0.0418500,456650000
VTBR,60,20191016,140000,0.0418550,0.0420850,0.0418450,0.0418750,2911200000
VTBR,60,20191016,150000,0.0418750,0.0419900,0.0418400,0.0418450,845180000
VTBR,60,20191016,160000,0.0418500,0.0418950,0.0417750,0.0418600,491360000
VTBR,60,20191016,170000,0.0418600,0.0419750,0.0418550,0.0418900,546150000
VTBR,60,20191016,180000,0.0419100,0.0420400,0.0418700,0.0420300,1373730000
VTBR,60,20191016,190000,0.0420300,0.0421600,0.0419100,0.0419800,3154380000
VTBR,60,20191017,110000,0.0419800,0.0421650,0.0419100,0.0421200,1734770000
VTBR,60,20191017,120000,0.0421200,0.0421500,0.0420150,0.0420550,816890000
VTBR,60,20191017,130000,0.0420550,0.0421600,0.0419150,0.0420950,1788030000
VTBR,60,20191017,140000,0.0420950,0.0421500,0.0420350,0.0420600,419790000
VTBR,60,20191017,150000,0.0421000,0.0421050,0.0419600,0.0419850,433250000
VTBR,60,20191017,160000,0.0419850,0.0420400,0.0419500,0.0420300,419440000
VTBR,60,20191017,170000,0.0420300,0.0420700,0.0419100,0.0420700,477030000
VTBR,60,20191017,180000,0.0420600,0.0420750,0.0418000,0.0418300,1102820000
VTBR,60,20191017,190000,0.0418200,0.0420050,0.0417050,0.0420050,1645080000
VTBR,60,20191018,110000,0.0420000,0.0422500,0.0418800,0.0421500,3042900000
VTBR,60,20191018,120000,0.0421450,0.0422400,0.0419900,0.0420200,1352830000
VTBR,60,20191018,130000,0.0420200,0.0421750,0.0420000,0.0421050,598100000
VTBR,60,20191018,140000,0.0421050,0.0421450,0.0420000,0.0420750,881470000
VTBR,60,20191018,150000,0.0420850,0.0422150,0.0420800,0.0421700,1187280000
VTBR,60,20191018,160000,0.0421700,0.0422400,0.0421400,0.0421600,650690000
VTBR,60,20191018,170000,0.0421600,0.0428500,0.0420650,0.0426450,12766670000
VTBR,60,20191018,180000,0.0426450,0.0431000,0.0425250,0.0427700,11126940000
VTBR,60,20191018,190000,0.0427700,0.0428150,0.0426600,0.0428000,3068260000
VTBR,60,20191021,110000,0.0429800,0.0435600,0.0429200,0.0431650,7325940000
VTBR,60,20191021,120000,0.0431600,0.0436000,0.0430550,0.0433500,6465900000
VTBR,60,20191021,130000,0.0433450,0.0438800,0.0432550,0.0438350,15270720000
VTBR,60,20191021,140000,0.0438150,0.0440600,0.0434750,0.0436000,9577970000
VTBR,60,20191021,150000,0.0435900,0.0437000,0.0435150,0.0436550,2417460000
VTBR,60,20191021,160000,0.0436550,0.0436800,0.0435400,0.0436200,1688790000
VTBR,60,20191021,170000,0.0436200,0.0436400,0.0434600,0.0436400,1757230000
VTBR,60,20191021,180000,0.0436350,0.0437400,0.0434750,0.0436150,2934480000
VTBR,60,20191021,190000,0.0436150,0.0436700,0.0435400,0.0436400,1813110000
VTBR,60,20191022,110000,0.0439500,0.0439500,0.0436450,0.0437350,3654100000
VTBR,60,20191022,120000,0.0437350,0.0437900,0.0433400,0.0434500,3753840000
VTBR,60,20191022,130000,0.0434550,0.0436950,0.0433850,0.0435100,2372740000
VTBR,60,20191022,140000,0.0435200,0.0435950,0.0433200,0.0435250,2455640000
VTBR,60,20191022,150000,0.0435250,0.0437500,0.0435100,0.0435500,2817170000
VTBR,60,20191022,160000,0.0435500,0.0436950,0.0435200,0.0436300,1235740000
VTBR,60,20191022,170000,0.0436300,0.0437350,0.0435600,0.0436350,2320000000
VTBR,60,20191022,180000,0.0436350,0.0437350,0.0435050,0.0437050,2459090000
VTBR,60,20191022,190000,0.0437100,0.0437300,0.0435950,0.0437000,2747940000
VTBR,60,20191023,110000,0.0436550,0.0436600,0.0431500,0.0434750,6796360000
VTBR,60,20191023,120000,0.0434800,0.0435700,0.0432650,0.0434850,2718690000
VTBR,60,20191023,130000,0.0434850,0.0435100,0.0433200,0.0433850,1071140000
VTBR,60,20191023,140000,0.0434100,0.0434900,0.0433350,0.0434400,1733230000
VTBR,60,20191023,150000,0.0434300,0.0436000,0.0433600,0.0434950,1761640000
VTBR,60,20191023,160000,0.0434950,0.0435000,0.0427150,0.0427900,17136180000
VTBR,60,20191023,170000,0.0427900,0.0429150,0.0422800,0.0428700,13824430000
VTBR,60,20191023,180000,0.0428550,0.0429550,0.0427050,0.0429050,4144770000
VTBR,60,20191023,190000,0.0429050,0.0432000,0.0428500,0.0432000,3656190000
VTBR,60,20191024,110000,0.0431500,0.0431850,0.0427300,0.0429800,5082230000
VTBR,60,20191024,120000,0.0429800,0.0430900,0.0427900,0.0429250,3302940000
VTBR,60,20191024,130000,0.0429250,0.0429900,0.0428400,0.0429500,1674030000
VTBR,60,20191024,140000,0.0429500,0.0429750,0.0429000,0.0429350,1033410000
VTBR,60,20191024,150000,0.0429350,0.0430000,0.0429250,0.0429900,1811280000
VTBR,60,20191024,160000,0.0429800,0.0429900,0.0429000,0.0429750,2014830000
VTBR,60,20191024,170000,0.0429750,0.0429900,0.0425700,0.0426650,3942540000
VTBR,60,20191024,180000,0.0426700,0.0428250,0.0425300,0.0427850,6375660000
VTBR,60,20191024,190000,0.0427800,0.0429850,0.0427550,0.0428550,3563690000
VTBR,60,20191025,110000,0.0428700,0.0430500,0.0423750,0.0426050,5882010000
VTBR,60,20191025,120000,0.0426200,0.0426700,0.0424300,0.0425350,3533720000
VTBR,60,20191025,130000,0.0425550,0.0432000,0.0425000,0.0430350,7102560000
VTBR,60,20191025,140000,0.0430550,0.0431400,0.0429000,0.0430450,1700110000
VTBR,60,20191025,150000,0.0430450,0.0433000,0.0429300,0.0432100,4436980000
VTBR,60,20191025,160000,0.0432000,0.0432100,0.0427350,0.0429050,2736260000
VTBR,60,20191025,170000,0.0429000,0.0430250,0.0427050,0.0429500,2051950000
VTBR,60,20191025,180000,0.0429600,0.0430000,0.0428850,0.0429900,859330000
VTBR,60,20191025,190000,0.0429900,0.0430500,0.0429500,0.0429850,1852060000
VTBR,60,20191028,110000,0.0430300,0.0435400,0.0429700,0.0429950,5526900000
VTBR,60,20191028,120000,0.0430100,0.0433300,0.0430000,0.0430850,4036660000
VTBR,60,20191028,130000,0.0430850,0.0432200,0.0429350,0.0430600,2143990000
VTBR,60,20191028,140000,0.0430550,0.0430950,0.0429850,0.0430600,879270000
VTBR,60,20191028,150000,0.0430600,0.0432050,0.0430350,0.0431600,1073460000
VTBR,60,20191028,160000,0.0431600,0.0432350,0.0429000,0.0430650,1696040000
VTBR,60,20191028,170000,0.0430800,0.0432000,0.0430100,0.0430300,1865110000
VTBR,60,20191028,180000,0.0430300,0.0431000,0.0426550,0.0427300,2526260000
VTBR,60,20191028,190000,0.0427350,0.0429000,0.0427050,0.0428250,3014680000
VTBR,60,20191029,110000,0.0428200,0.0430150,0.0425950,0.0428950,3064290000
VTBR,60,20191029,120000,0.0428950,0.0429850,0.0427700,0.0428700,1582050000
VTBR,60,20191029,130000,0.0429000,0.0429450,0.0427700,0.0428950,954660000
VTBR,60,20191029,140000,0.0428950,0.0429500,0.0428350,0.0429200,810330000
VTBR,60,20191029,150000,0.0429200,0.0429200,0.0428100,0.0428950,1408710000
VTBR,60,20191029,160000,0.0428950,0.0430300,0.0428050,0.0429350,1368890000
VTBR,60,20191029,170000,0.0429300,0.0429900,0.0427900,0.0428150,1470880000
VTBR,60,20191029,180000,0.0428150,0.0429300,0.0427850,0.0429300,1080250000
VTBR,60,20191029,190000,0.0429100,0.0430600,0.0428200,0.0430600,2709900000
VTBR,60,20191030,110000,0.0431000,0.0431400,0.0429450,0.0430050,2191510000
VTBR,60,20191030,120000,0.0430000,0.0430300,0.0429800,0.0430300,1083470000
VTBR,60,20191030,130000,0.0430300,0.0437200,0.0429550,0.0436650,9281780000
VTBR,60,20191030,140000,0.0436800,0.0438750,0.0435050,0.0436000,10587510000
VTBR,60,20191030,150000,0.0436000,0.0436000,0.0433350,0.0435400,3916560000
VTBR,60,20191030,160000,0.0435600,0.0435700,0.0433750,0.0434950,1562180000
VTBR,60,20191030,170000,0.0435000,0.0435300,0.0433000,0.0434700,2639900000
VTBR,60,20191030,180000,0.0434600,0.0435000,0.0433350,0.0434950,1775050000
VTBR,60,20191030,190000,0.0434950,0.0435000,0.0433000,0.0435000,2052370000
VTBR,60,20191031,110000,0.0435900,0.0437600,0.0434650,0.0435500,3056950000
VTBR,60,20191031,120000,0.0435500,0.0436500,0.0433500,0.0435750,2747730000
VTBR,60,20191031,130000,0.0435700,0.0437000,0.0434000,0.0434500,3169520000
VTBR,60,20191031,140000,0.0434500,0.0435550,0.0434000,0.0435550,771700000
VTBR,60,20191031,150000,0.0435500,0.0436500,0.0434050,0.0434600,1510480000
