<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,60,20191001,110000,2274.6000000,2299.8000000,2272.0000000,2292.0000000,47197
YNDX,60,20191001,120000,2292.0000000,2296.6000000,2287.0000000,2295.0000000,30586
YNDX,60,20191001,130000,2295.0000000,2295.6000000,2290.4000000,2292.6000000,8680
YNDX,60,20191001,140000,2292.6000000,2299.0000000,2292.4000000,2298.0000000,15519
YNDX,60,20191001,150000,2296.0000000,2302.4000000,2294.0000000,2295.4000000,19412
YNDX,60,20191001,160000,2295.4000000,2303.0000000,2295.0000000,2302.2000000,19509
YNDX,60,20191001,170000,2301.0000000,2319.8000000,2296.0000000,2307.2000000,59814
YNDX,60,20191001,180000,2307.4000000,2307.4000000,2275.4000000,2279.8000000,84765
YNDX,60,20191001,190000,2278.2000000,2291.8000000,2277.6000000,2287.0000000,23502
YNDX,60,20191002,110000,2284.0000000,2287.2000000,2266.4000000,2285.0000000,27194
YNDX,60,20191002,120000,2284.8000000,2294.8000000,2276.2000000,2283.2000000,18553
YNDX,60,20191002,130000,2282.2000000,2282.6000000,2270.2000000,2271.6000000,21688
YNDX,60,20191002,140000,2271.8000000,2273.6000000,2266.2000000,2270.4000000,10103
YNDX,60,20191002,150000,2271.0000000,2278.8000000,2269.0000000,2276.2000000,10878
YNDX,60,20191002,160000,2275.2000000,2281.8000000,2268.0000000,2271.6000000,9539
YNDX,60,20191002,170000,2273.0000000,2275.6000000,2235.0000000,2242.6000000,66461
YNDX,60,20191002,180000,2243.0000000,2258.6000000,2240.0000000,2250.8000000,50569
YNDX,60,20191002,190000,2251.0000000,2256.8000000,2242.2000000,2250.0000000,39601
YNDX,60,20191003,110000,2234.2000000,2241.2000000,2213.0000000,2229.0000000,53648
YNDX,60,20191003,120000,2230.0000000,2233.8000000,2220.8000000,2228.4000000,15454
YNDX,60,20191003,130000,2229.2000000,2234.2000000,2222.8000000,2233.8000000,18597
YNDX,60,20191003,140000,2233.8000000,2235.0000000,2227.0000000,2228.0000000,8314
YNDX,60,20191003,150000,2228.2000000,2234.4000000,2223.2000000,2226.6000000,7257
YNDX,60,20191003,160000,2226.6000000,2231.4000000,2225.4000000,2230.0000000,7622
YNDX,60,20191003,170000,2229.8000000,2243.6000000,2218.4000000,2242.4000000,69388
YNDX,60,20191003,180000,2241.2000000,2248.4000000,2207.6000000,2247.0000000,107080
YNDX,60,20191003,190000,2246.8000000,2283.2000000,2245.2000000,2265.0000000,58233
YNDX,60,20191004,110000,2280.2000000,2288.8000000,2261.0000000,2268.0000000,49104
YNDX,60,20191004,120000,2268.0000000,2276.4000000,2261.2000000,2272.8000000,11326
YNDX,60,20191004,130000,2273.0000000,2274.0000000,2263.0000000,2266.0000000,7886
